open,high,low,close,volume,SMA_7,SMA_21,EMA_7,EMA_21,RSI,Upper_Bollinger,Lower_Bollinger,Daily_Return,Log_Return,Rolling_Volatility_7,Rolling_Volatility_21,ATR_14,Volume_MA_7,Volume_MA_21,Volume_ROC,Price_Spread,Close_Open_Spread
18.71,18.71,18.71,18.71,200,18.69142857142857,18.645238095238096,18.686702998808553,18.65419441305428,70.83333333333407,18.722858790916664,18.572141209083338,0.0010700909577314732,0.0010695188185268468,0.0032386364387565134,0.0043643831714944795,0.017142857142856776,1015.2857142857143,1218.7142857142858,-0.9262536873156342,0.0,0.0
18.71,18.71,18.71,18.71,603,18.697142857142858,18.65047619047619,18.692527249106416,18.659267648231165,68.18181818181898,18.731100202940723,18.57289979705928,0.0,0.0,0.003253421586908233,0.004367631134647852,0.01571428571428538,1030.0,1070.3333333333333,2.015,0.0,0.0
18.7,18.7,18.7,18.7,650,18.69857142857143,18.654285714285713,18.69439543682981,18.662970589301057,71.42857142857167,18.73489331435401,18.57910668564599,-0.0005344735435597325,-0.0005346164254574462,0.0032089885096823713,0.004356989775885245,0.014999999999999807,1015.7142857142857,1077.4761904761904,0.07794361525704807,0.0,0.0
18.7,18.73,18.7,18.72,4552,18.69857142857143,18.659999999999997,18.70079657762236,18.66815508118278,72.72727272727273,18.74089331435401,18.58510668564599,0.0010695187165774556,0.0010689471889049637,0.002945289013451316,0.0042216345310465,0.016428571428571206,1595.5714285714287,1275.1904761904761,6.003076923076923,0.030000000000001137,0.019999999999999574
18.73,18.74,18.73,18.74,500,18.705714285714286,18.666666666666668,18.71059743321677,18.67468643743889,73.91304347826107,18.751920305492256,18.585079694507748,0.0010683760683760646,0.001067805760830137,0.0024120216246338094,0.004274991538341504,0.017142857142857033,1373.857142857143,1256.142857142857,-0.8901581722319859,0.00999999999999801,0.00999999999999801
18.73,18.74,18.73,18.74,2803,18.715714285714284,18.671904761904763,18.717948074912577,18.680624034035354,72.72727272727273,18.759479832535717,18.590520167464284,0.0,0.0,0.001826749246072164,0.004077381141433121,0.017142857142856776,1717.142857142857,1327.7142857142858,4.606,0.00999999999999801,0.00999999999999801
18.74,18.74,18.73,18.74,2800,18.722857142857144,18.67809523809524,18.723461056184433,18.686021849123048,71.42857142857167,18.76492030549225,18.59807969450775,0.0,0.0,0.0017731663236206113,0.003837234226053243,0.017142857142856776,1729.7142857142858,1442.0,-0.001070281840884757,0.00999999999999801,0.0
18.74,18.75,18.74,18.75,1330,18.728571428571428,18.684761904761906,18.730095792138325,18.691838044657317,71.42857142857167,18.772569630922334,18.602430369077666,0.0005336179295625243,0.0005334756061437835,0.0016032788272020814,0.003825861523399442,0.017142857142856776,1891.142857142857,1432.952380952381,-0.525,0.010000000000001563,0.010000000000001563
18.75,18.76,18.75,18.76,1875,18.735714285714288,18.690952380952382,18.737571844103744,18.698034586052106,71.42857142857167,18.77771701918684,18.61228298081316,0.0005333333333334966,0.0005331911616589571,0.0015732226057879751,0.0037569536813352,0.017142857142856776,2072.8571428571427,1483.904761904762,0.40977443609022557,0.010000000000001563,0.010000000000001563
18.78,18.78,18.78,18.78,350,18.747142857142855,18.69904761904762,18.74817888307781,18.705485987320095,71.42857142857167,18.786123243946616,18.619876756053383,0.0010660980810235365,0.0010655302020383163,0.001271247668700769,0.0035184585194752583,0.017142857142856776,2030.0,1406.1904761904761,-0.8133333333333334,0.0,0.0
18.77,18.77,18.77,18.77,259,18.754285714285714,18.706190476190475,18.75363416230836,18.711350897563722,63.1578947368422,18.790785616228828,18.629214383771174,-0.0005324813631524261,-0.0005326231816995352,0.001570126748839491,0.003645619014071416,0.015714285714285632,1416.7142857142858,1270.095238095238,-0.26,0.0,0.0
